Date ,Index Identifier,Yields 
2013-01-01,S&P 500  Financials  Bond Index,0.0235
2013-01-02,S&P 500  Financials  Bond Index,0.0235
2013-01-03,S&P 500  Financials  Bond Index,0.0235
2013-01-04,S&P 500  Financials  Bond Index,0.0235
2013-01-07,S&P 500  Financials  Bond Index,0.0233
2013-01-08,S&P 500  Financials  Bond Index,0.0232
2013-01-09,S&P 500  Financials  Bond Index,0.023
2013-01-10,S&P 500  Financials  Bond Index,0.0231
2013-01-11,S&P 500  Financials  Bond Index,0.023
2013-01-14,S&P 500  Financials  Bond Index,0.023
2013-01-15,S&P 500  Financials  Bond Index,0.0231
2013-01-16,S&P 500  Financials  Bond Index,0.0231
2013-01-17,S&P 500  Financials  Bond Index,0.0234
2013-01-18,S&P 500  Financials  Bond Index,0.0232
2013-01-21,S&P 500  Financials  Bond Index,0.0233
2013-01-22,S&P 500  Financials  Bond Index,0.0231
2013-01-23,S&P 500  Financials  Bond Index,0.0232
2013-01-24,S&P 500  Financials  Bond Index,0.0232
2013-01-25,S&P 500  Financials  Bond Index,0.0237
2013-01-28,S&P 500  Financials  Bond Index,0.0237
2013-01-29,S&P 500  Financials  Bond Index,0.0237
2013-01-30,S&P 500  Financials  Bond Index,0.0237
2013-01-31,S&P 500  Financials  Bond Index,0.0236
2013-02-01,S&P 500  Financials  Bond Index,0.0238
2013-02-04,S&P 500  Financials  Bond Index,0.0236
2013-02-05,S&P 500  Financials  Bond Index,0.0238
2013-02-06,S&P 500  Financials  Bond Index,0.0235
2013-02-07,S&P 500  Financials  Bond Index,0.0234
2013-02-08,S&P 500  Financials  Bond Index,0.0234
2013-02-11,S&P 500  Financials  Bond Index,0.0234
2013-02-12,S&P 500  Financials  Bond Index,0.0237
2013-02-13,S&P 500  Financials  Bond Index,0.0237
2013-02-14,S&P 500  Financials  Bond Index,0.0232
2013-02-15,S&P 500  Financials  Bond Index,0.0233
2013-02-18,S&P 500  Financials  Bond Index,0.0233
2013-02-19,S&P 500  Financials  Bond Index,0.0235
2013-02-20,S&P 500  Financials  Bond Index,0.0234
2013-02-21,S&P 500  Financials  Bond Index,0.0232
2013-02-22,S&P 500  Financials  Bond Index,0.023
2013-02-25,S&P 500  Financials  Bond Index,0.0226
2013-02-26,S&P 500  Financials  Bond Index,0.0226
2013-02-27,S&P 500  Financials  Bond Index,0.0227
2013-02-28,S&P 500  Financials  Bond Index,0.0225
2013-03-01,S&P 500  Financials  Bond Index,0.0227
2013-03-04,S&P 500  Financials  Bond Index,0.0229
2013-03-05,S&P 500  Financials  Bond Index,0.0228
2013-03-06,S&P 500  Financials  Bond Index,0.0229
2013-03-07,S&P 500  Financials  Bond Index,0.0232
2013-03-08,S&P 500  Financials  Bond Index,0.0233
2013-03-11,S&P 500  Financials  Bond Index,0.0233
2013-03-12,S&P 500  Financials  Bond Index,0.023
2013-03-13,S&P 500  Financials  Bond Index,0.023
2013-03-14,S&P 500  Financials  Bond Index,0.0229
2013-03-15,S&P 500  Financials  Bond Index,0.0227
2013-03-18,S&P 500  Financials  Bond Index,0.0226
2013-03-19,S&P 500  Financials  Bond Index,0.0224
2013-03-20,S&P 500  Financials  Bond Index,0.0226
2013-03-21,S&P 500  Financials  Bond Index,0.0227
2013-03-22,S&P 500  Financials  Bond Index,0.0227
