Date,Index Identifier,Yield Change
2022-01-04,Daily Change in Fin,0.009708738
2022-01-05,Daily Change in Fin,0.019230769
2022-01-06,Daily Change in Fin,0.018867925
2022-01-07,Daily Change in Fin,0.009259259
2022-01-10,Daily Change in Fin,0.013761468
2022-01-11,Daily Change in Fin,-0.009049774
2022-01-12,Daily Change in Fin,-0.00456621
2022-01-13,Daily Change in Fin,0
2022-01-14,Daily Change in Fin,0.032110092
2022-01-18,Daily Change in Fin,0.035555556
2022-01-19,Daily Change in Fin,-0.017167382
2022-01-20,Daily Change in Fin,0.008733624
2022-01-21,Daily Change in Fin,-0.017316017
2022-01-24,Daily Change in Fin,0.004405286
2022-01-25,Daily Change in Fin,0.013157895
2022-01-26,Daily Change in Fin,0.012987013
2022-01-27,Daily Change in Fin,0.017094017
2022-01-28,Daily Change in Fin,0.004201681
2022-01-31,Daily Change in Fin,0
2022-02-01,Daily Change in Fin,0
2022-02-02,Daily Change in Fin,-0.008368201
2022-02-03,Daily Change in Fin,0.029535865
2022-02-04,Daily Change in Fin,0.049180328
2022-02-07,Daily Change in Fin,-0.0078125
2022-02-08,Daily Change in Fin,0.011811024
2022-02-09,Daily Change in Fin,-0.011673152
2022-02-10,Daily Change in Fin,0.05511811
2022-02-11,Daily Change in Fin,-0.007462687
2022-02-14,Daily Change in Fin,0.018796992
2022-02-15,Daily Change in Fin,0.007380074
2022-02-16,Daily Change in Fin,0.007326007
2022-02-17,Daily Change in Fin,-0.007272727
2022-02-18,Daily Change in Fin,-0.003663004
2022-02-22,Daily Change in Fin,0.025735294
2022-02-23,Daily Change in Fin,0.007168459
2022-02-24,Daily Change in Fin,0.010676157
2022-02-25,Daily Change in Fin,-0.003521127
2022-02-28,Daily Change in Fin,-0.042402827
2022-03-01,Daily Change in Fin,-0.033210332
2022-03-02,Daily Change in Fin,0.061068702
2022-03-03,Daily Change in Fin,-0.003597122
2022-03-04,Daily Change in Fin,-0.007220217
2022-03-07,Daily Change in Fin,0.036363636
2022-03-08,Daily Change in Fin,0.049122807
2022-03-09,Daily Change in Fin,0.013377926
2022-03-10,Daily Change in Fin,0.02640264
2022-03-11,Daily Change in Fin,0.006430868
2022-03-14,Daily Change in Fin,0.038338658
2022-03-15,Daily Change in Fin,0.003076923
2022-03-16,Daily Change in Fin,-0.006134969
2022-03-17,Daily Change in Fin,-0.024691358
2022-03-18,Daily Change in Fin,-0.009493671
2022-03-21,Daily Change in Fin,0.041533546
2022-03-22,Daily Change in Fin,0.009202454
2022-03-23,Daily Change in Fin,-0.018237082
