Date,GDP,Debt,Debt/GDP Per Capita,Years
12/31/2021,12262.9346,104029375706,848323660.7,2021
12/31/2020,10936.0575,105890446969,968268930.3,2020
12/31/2019,11407.4793,73536345315,644632730.7,2019
12/31/2018,11366.0737,61821792421,543915111.3,2018
12/31/2017,10825.9024,46107666542,425901369.1,2017
12/31/2016,10286.4113,55750278788,541979871.9,2016
12/31/2015,10231.7026,57333751899,560353971.8,2015
12/31/2014,10976.3835,75334319046,686330967.3,2014
12/31/2013,10815.58,90073641743,832813790.3,2013
12/31/2012,10648.2372,95808640755,899760579.7,2012
12/31/2011,10544.8758,92585525384,878014375.3,2011
12/31/2010,9621.1283,60439448644,628195017.9,2010
12/31/2009,8890.8011,42300847722,475782184.8,2009
12/31/2008,9489.966,21487336753,226421641.1,2008
12/31/2007,8743.396,9833092338,112463078.9,2007
12/31/2006,7854.1044,13666660759,174006609.3,2006
12/31/2005,7337.4898,34714264905,473108186.2,2005
12/31/2004,6859.584,62139796027,905882864.4,2004
12/31/2003,6163.079,71912955980,1166834889,2003
12/31/2002,5565.5925,70469729806,1266167615,2002
12/31/2001,5427.3912,59901804093,1103694241,2001
12/31/2000,5533.053,49322126517,891408893.4,2000
12/31/1999,5425.0493,57496136237,1059826981,1999
12/31/1998,5297.2682,66739842976,1259891711,1998
12/31/1997,5384.6921,52568901205,976265684.8,1997
12/31/1996,5481.6149,42009082557,766363258.3,1996
12/31/1995,5439.8087,41586611940,764486661.8,1995
12/31/1994,4957.6365,30211445450,609392105.5,1994
12/31/1993,4662.7868,29139537930,624938243.6,1993
12/31/1992,4659.4677,27771636514,596025947.6,1992
12/31/1991,4426.0346,26664291722,602442008.1,1991
12/31/1990,4314.3387,23303762710,540146806.5,1990
12/31/1989,3890.9621,24649990786,633519169.6,1989
12/31/1988,3790.8071,26523969177,699691872.4,1988
12/31/1987,3452.7768,30618322055,886773858.5,1987
12/31/1986,3087.5317,35348075575,1144865187,1986
12/31/1985,2657.4963,37665035197,1417312799,1985
12/31/1984,2579.8572,37706647293,1461578854,1984
