date, Per Capita (US $),Outstanding Debt,Debt/GDDP per capita,Years
31/12/2021,12262.9346,1.04029E+11,8483236.607,2021
31/12/2020,10936.0575,1.0589E+11,9682689.303,2020
31/12/2019,11407.4793,73536345315,6446327.307,2019
31/12/2018,11366.0737,61821792421,5439151.113,2018
31/12/2017,10825.9024,46107666542,4259013.691,2017
31/12/2016,10286.4113,55750278788,5419798.719,2016
31/12/2015,10231.7026,57333751899,5603539.718,2015
31/12/2014,10976.3835,75334319046,6863309.673,2014
31/12/2013,10815.58,90073641743,8328137.903,2013
31/12/2012,10648.2372,95808640755,8997605.797,2012
31/12/2011,10544.8758,92585525384,8780143.753,2011
31/12/2010,9621.1283,60439448644,6281950.179,2010
31/12/2009,8890.8011,42300847722,4757821.848,2009
31/12/2008,9489.966,21487336753,2264216.411,2008
31/12/2007,8743.396,9833092338,1124630.789,2007
31/12/2006,7854.1044,13666660759,1740066.093,2006
31/12/2005,7337.4898,34714264905,4731081.862,2005
31/12/2004,6859.584,62139796027,9058828.644,2004
31/12/2003,6163.079,71912955980,11668348.89,2003
31/12/2002,5565.5925,70469729806,12661676.15,2002
31/12/2001,5427.3912,59901804093,11036942.41,2001
31/12/2000,5533.053,49322126517,8914088.934,2000
31/12/1999,5425.0493,57496136237,10598269.81,1999
31/12/1998,5297.2682,66739842976,12598917.11,1998
31/12/1997,5384.6921,52568901205,9762656.848,1997
31/12/1996,5481.6149,42009082557,7663632.583,1996
31/12/1995,5439.8087,41586611940,7644866.618,1995
31/12/1994,4957.6365,30211445450,6093921.055,1994
31/12/1993,4662.7868,29139537930,6249382.436,1993
31/12/1992,4659.4677,27771636514,5960259.476,1992
31/12/1991,4426.0346,26664291722,6024420.081,1991
31/12/1990,4314.3387,23303762710,5401468.065,1990
31/12/1989,3890.9621,24649990786,6335191.696,1989
31/12/1988,3790.8071,26523969177,6996918.724,1988
31/12/1987,3452.7768,30618322055,8867738.585,1987
31/12/1986,3087.5317,35348075575,11448651.87,1986
31/12/1985,2657.4963,37665035197,14173127.99,1985
31/12/1984,2579.8572,37706647293,14615788.54,1984
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
